Date,Time,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-13,17:05:00,Basketball 3x3,Women’s Bronze Medal Match,مباراة الميدالية البرونزية سيدات,Final,Women,Al Gharafa Sports Hall,,COM-2026-0141,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:30:00,Basketball 3x3,Men’s Final,النهائي رجال,Final,Men,Al Gharafa Sports Hall,,COM-2026-0142,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:55:00,Basketball 3x3,Men’s Final,النهائي رجال,Final,Men,Al Gharafa Sports Hall,,COM-2026-0143,https://gccgames.qa/frontend/schedule-competition
2026-05-15,16:00:00,Basketball 5x5,Men’s Preliminary,Match 1 - رجال تمهيدي - المباراة 1,Qualification,Men,Al Gharafa Sports Hall,"BRN,KSA",COM-2026-0110,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:00:00,Basketball 5x5,Men’s Preliminary,Match 2 - رجال تمهيدي - المباراة 2,Qualification,Men,Al Gharafa Sports Hall,"QAT,UAE",COM-2026-0111,https://gccgames.qa/frontend/schedule-competition
2026-05-16,16:00:00,Basketball 5x5,Men’s Preliminary,Match 3 - رجال تمهيدي - المباراة 3,Qualification,Men,Al Gharafa Sports Hall,"BRN,UAE",COM-2026-0112,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:00:00,Basketball 5x5,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Qualification,Men,Al Gharafa Sports Hall,"KSA,QAT",COM-2026-0113,https://gccgames.qa/frontend/schedule-competition
2026-05-17,16:00:00,Basketball 5x5,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Qualification,Men,Al Gharafa Sports Hall,"KSA,UAE",COM-2026-0114,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:00:00,Basketball 5x5,Men’s Preliminary,Match 6 - رجال تمهيدي - المباراة 6,Qualification,Men,Al Gharafa Sports Hall,"BRN,QAT",COM-2026-0115,https://gccgames.qa/frontend/schedule-competition
2026-05-19,16:00:00,Basketball 5x5,Men’s Semi Final,Match 7 - رجال نصف النهائي - المباراة 7,Semi Final,Men,Al Gharafa Sports Hall,,COM-2026-0116,https://gccgames.qa/frontend/schedule-competition
2026-05-19,18:00:00,Basketball 5x5,Men’s Semi Final,Match 8 - رجال نصف النهائي - المباراة 8,Semi Final,Men,Al Gharafa Sports Hall,,COM-2026-0117,https://gccgames.qa/frontend/schedule-competition
2026-05-20,16:00:00,Basketball 5x5,Men’s Bronze Medal Match,مباراة الميدالية البرونزية رجال,Final,Men,Al Gharafa Sports Hall,,COM-2026-0118,https://gccgames.qa/frontend/schedule-competition
2026-05-20,18:00:00,Basketball 5x5,Men’s Final,النهائي رجال,Final,Men,Al Gharafa Sports Hall,,COM-2026-0119,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0190,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0191,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0192,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0193,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0194,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0195,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0196,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0197,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0198,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0199,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0200,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0201,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0202,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0203,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0204,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0205,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0206,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0207,https://gccgames.qa/frontend/schedule-competition
2026-05-13,10:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0208,https://gccgames.qa/frontend/schedule-competition
