Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Status,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles Match No 9,9 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"KUW,QAT",COM-2026-0193,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles Match No 12,12 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"BRN,KSA",COM-2026-0194,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles Match No 10,10 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"BRN,UAE",COM-2026-0195,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles Match No 17,17 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"BRN,KSA",COM-2026-0196,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles Match No 20,20 كرات فردي رجال 10 مبارات رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,KUW,COM-2026-0197,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles Match No 21,21 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"QAT,UAE",COM-2026-0198,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles Match No 22,22 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"KSA,UAE",COM-2026-0199,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:00:00,17:00:00,60,Billiards,Men’s 10-Ball Singles Match No 23,23 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"BRN,QAT",COM-2026-0200,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:00:00,17:00:00,60,Billiards,Men’s 10-Ball Singles Match No 24,24 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"BRN,KUW",COM-2026-0202,https://gccgames.qa/frontend/schedule-competition
2026-05-12,18:00:00,19:00:00,60,Billiards,Men’s 10-Ball Singles Match No 25,25 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,QAT,COM-2026-0203,https://gccgames.qa/frontend/schedule-competition
2026-05-12,18:00:00,19:00:00,60,Billiards,Men’s 10-Ball Singles Match No 26,26 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"KUW,UAE",COM-2026-0204,https://gccgames.qa/frontend/schedule-competition
2026-05-13,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles Semi-final,كرات فردي رجال 10 النصف النهائي,Semi Final,Official,Men,Qatar Billiards & Snooker Federation Hall,"QAT,UAE",COM-2026-0208,https://gccgames.qa/frontend/schedule-competition
2026-05-13,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles Semi-final,كرات فردي رجال 10 النصف النهائي,Semi Final,Official,Men,Qatar Billiards & Snooker Federation Hall,"KSA,KUW",COM-2026-0209,https://gccgames.qa/frontend/schedule-competition
2026-05-13,12:00:00,13:00:00,60,Billiards,Men’s 10-Ball Singles Final,كرات فردي رجال 10 النهائي,Final,Official,Men,Qatar Billiards & Snooker Federation Hall,"KSA,QAT",COM-2026-0210,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,16:30:00,90,Billiards,Men’s 10-Ball Doubles Match No 2,2 كرات زوجي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,UAE,COM-2026-0211,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,18:30:00,90,Billiards,Men’s 10-Ball Doubles Match No 5,5 كرات زوجي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,QAT,COM-2026-0212,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,18:30:00,90,Billiards,Men’s 10-Ball Doubles Match No 6,6 كرات زوجي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"KSA,KUW",COM-2026-0213,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,20:30:00,90,Billiards,Men’s 10-Ball Doubles Match No 9,9 كرات زوجي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0214,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,11:30:00,90,Billiards,Men’s 10-Ball Doubles Semi-final,كرات زوجي رجال 10 النصف النهائي,Semi Final,Official,Men,Qatar Billiards & Snooker Federation Hall,"KSA,QAT",COM-2026-0217,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,11:30:00,90,Billiards,Men’s 10-Ball Doubles Semi-final,كرات زوجي رجال 10 النصف النهائي,Semi Final,Official,Men,Qatar Billiards & Snooker Federation Hall,"KUW,UAE",COM-2026-0218,https://gccgames.qa/frontend/schedule-competition
2026-05-14,13:00:00,14:30:00,90,Billiards,Men’s 10-Ball Doubles Final,كرات زوجي رجال 10 النهائي,Final,Official,Men,Qatar Billiards & Snooker Federation Hall,"KUW,QAT",COM-2026-0219,https://gccgames.qa/frontend/schedule-competition
