Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Lane_Heat,Reaction_Time,Split_Times,Status,Country,Detection_Method,Source_URL
Abdullah Alshammari,Snooker,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s 6-Red Singles,Match 10 - 6 كرات فردي رجال - المباراة 10,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0250
Ayman Alamri,Snooker,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s 6-Red Singles,Match 11 - 6 كرات فردي رجال - المباراة 11,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0251
Abdullah Alshammari,Snooker,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Singles,Match 2 - فردي رجال - المباراة 2,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0261
Ziyad Alqabbani,Snooker,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Singles,Match 3 - فردي رجال - المباراة 3,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0262
Abdullah Alshammari,Snooker,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Singles,Match 6 - فردي رجال - المباراة 6,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0265
Ziyad Alqabbani,Snooker,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Singles,Match 7 - فردي رجال - مباراة 7,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0266
Saudi Arabia (Team),Snooker,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Team,Match 1 - فرق رجال - المباراة 1,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0279
Saudi Arabia (Team),Snooker,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Team,Match 3 - فرق رجال - المباراة 3,Qualification,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/snooker/COM-2026-0281
Ghanem Alsulhi,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 800m Freestyle Heat 1,سباحة 800م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0494
Emad Alsibyani,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 200m Individual Medley Heat 1,سباحة 200م متنوع بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0495
