Athlete_Name_Lower,Original_Name,Age,Gender,ISG_Sports,ISG_Medal_G,ISG_Medal_S,ISG_Medal_B,ISG_Medal_Events
abdullah sharbatly,Abdullah Sharbatly,43,Men,Equestrian,0,0,1,Equestrian:Equestrian(B)
abdulleh aldossary,Abdulleh Aldossary,27,Men,Futsal,0,0,0,
abdulmajeed almarwani,Abdulmajeed Almarwani,27,Men,Swimming,0,0,0,
abdulmalik al murdhi,Abdulmalik Al Murdhi,32,Men,Jiu Jitsu,0,1,0,Jiu Jitsu:Men -62 kg(S)
abdulmalik ashoor,Abdulmalik Ashoor,23,Men,3x3 Basketball,0,0,0,
abdulrahman alghamdi,Abdulrahman Alghamdi,38,Men,Duathlon,0,0,0,
abdulrahman alqurashi,ABDULRAHMAN ALQURASHI,28,Men,Athletics / Para Athletics,0,0,1,Para Athletics:Para Athletics Men's 100m T53/54(B)
abdulrahman alrajhi,Abdulrahman Alrajhi,30,Men,Equestrian,0,0,0,
abdulrahman alsaiari,Abdulrahman Alsaiari,20,Men,Judo,0,0,0,
abdulrahman mohammed,AbdulRahman Mohammed,17,Men,Athletics / Para Athletics,0,0,0,
abed nada,Nada Abed,22,Women,Fencing,0,0,1,Fencing:Fencing Women's Épée Team(B)
abeer alshehri,abeer alshehri,,,,0,0,1,Karate:Women -50 kg(B)
abu hamdi obaed,Hamdi Abu Obaed,25,Men,Handball,0,0,0,
abuelkhir rashad,Rashad Abuelkhir,19,Men,Volleyball,0,0,0,
abutaleb dunya,Dunya Abutaleb,28,Women,Taekwondo,1,0,0,Taekwondo:Women Under 51kg(G)
adel almutairi,Adel Almutairi,27,Men,Fencing,0,0,0,
adnan noorsaeed,Adnan Noorsaeed,22,Men,Para Powerlifting,0,0,0,
ahmed aljohni,Ahmed Aljohni,26,Men,Camel Racing,1,1,0,Camel Racing:Men's 2000m(G); Camel Racing:Men's 8000m(S)
ahmed almueibid,Ahmed Almueibid,18,Men,Swimming,0,0,0,
ahmed almurait,Ahmed Almurait,30,Men,Volleyball,0,0,0,
ahmed mohammed,Mohammed Ahmed,35,Men,Futsal,0,0,0,
al alanood husaiyen,Alanood Al Husaiyen,29,Women,Judo,0,0,0,
al ali hawar,Ali Al Hawar,17,Men,Weighlifting,0,0,0,
al ali ibrahim,Ali Al Ibrahim,28,Men,Handball,0,1,0,Handball:Handball Men(S)
al amari jannh,Jannh Al Amari,24,Women,Weighlifting,0,0,0,
